"filename", "language", "Ignore", "JSON", "Properties", "JavaScript", "TypeScript", "Markdown", "JSON with Comments", "XML", "TypeScript JSX", "CSS", "HTML", "Docker", "comment", "blank", "total"
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\data-monitoring\components\sidebar\navbar\NavbarNested.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\data-monitoring\components\sidebar\navbar\NavbarNested.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 11, 75
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\data-monitoring\components\table\DataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 12, 20, 156
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\data-monitoring\components\table\css\DataTable.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 6, 37
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\user-logs\UserLogsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\user-logs\components\table-view\TableView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 12, 43
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\user-logs\components\table-view\table\UserLogsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 3, 12, 120
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\user-logs\components\toolbox\ToolboxMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"d:\Kyle\Projects\bpit-das-v2\frontend\src\pages\user-logs\components\toolbox\components\DatePickerMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 8, 35
"d:\Kyle\Projects\bpit-das-v2\frontend\src\types\analyzerData.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\Kyle\Projects\bpit-das-v2\frontend\src\types\currentValues.d.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"d:\Kyle\Projects\bpit-das-v2\frontend\src\types\index.d.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
